business_id,latitude,longitude,attributes.Price Range,review_count,stars
xxWFOD46ubTSF3nPRM19BA,40.47045734,-80.08895874,0,3,1
PK6aSizckHFWk8i0oxt5DA,40.412086,-79.910032,1,5,2
sRqB6flj3GtTZIZJQxf_oA,40.4116918,-79.9123428,0,3,2.5
3gmBc0qN_LtGbZAjTtHWZg,40.407091,-79.916958,2,16,3.5
yHTLTr-QN-loO_7XoxS8qg,40.4140637,-79.9037778,2,8,3
6ilJq_05xRgek_8qUp36-g,40.413496,-79.9044562,1,36,2
57HN9fGRar_GckBmgHgemA,40.4116978,-79.9124082,2,6,4
MKyk4F4HSzHF8v-4cYe3Ww,40.4094884,-79.9151108,2,25,3.5
0hrB2iwQZ52VZcZWYywXrA,40.40682,-79.912788,0,9,4.5
gClSqcwuLsgyZRCzhJc7Dg,40.4131349,-79.90155,2,6,2.5
1qCuOcks5HRv67OHovAVpg,40.405311,-79.912595,2,16,3.5
sbW8qHJgzEIH42B0S-3New,40.4097113,-79.9140822,2,52,3
McikHxxEqZ2X0joaRNKlaw,40.4094884,-79.9151108,2,94,3.5
tv8cS4aaA1VDaInYgggb6g,40.409092,-79.914897,2,34,3
eT5Ck7Gg1dBJobca9VFovw,40.411484,-79.90877,2,22,3.5
HwwEfnZKLNOUoqfgcwAgcQ,40.4083798,-79.9158762,2,10,3.5
EoAY1JSVeJriBzId8lUQwQ,40.4070709,-79.917508,2,46,2.5
uI0LvTXFACid1308KFO5ew,40.395691,-79.9337369,0,13,3
Y4CcDDyMoDpK7BbpKawWjw,40.4089932,-79.9073564,2,3,5
RxKrw38oyeYszQ6guY5b1A,40.4027249,-79.904308,0,9,4.5
TfvWSIAMFZ9zI3y2-K6wOA,40.3867759,-79.9028194,1,4,2.5
tU-YtoW339PXJmUGSix_AQ,40.4087041,-79.9175086,2,15,2.5
6p9TlP2I8S4agxYMNFSDjg,40.410967,-79.9141364,2,33,3
XhbC5Qj5nBcqcKLPRd8izQ,40.4071786,-79.9163778,3,3,2
JDDeaNfb0JXD1NbznSIC9g,40.4071112,-79.91615,2,64,3
oPX8bpZ3dqviYQuic0Ahqw,40.4081509,-79.9161483,2,5,4
FiXamVMgMf9U0VqFHDZSEA,40.407152,-79.9166162,1,17,3
LG_Dgv7u7P2ASDWU1RAyWQ,40.39726,-79.903054,0,4,4
ISKLP0qxApATxRlUDob6Cg,40.4103739,-79.9098881,2,15,3.5
DMy5IG-dNrH4ARk96KngEA,40.40939,-79.91295,3,4,3.5
uLnDFdn011hEroQQMLmxNQ,40.385745,-79.9033649,1,5,3
rdATJvFQK4C73NIQ3zoY3w,40.4132798,-79.90727,2,6,4
g10zmpUzmMJOOIjj_JJPvg,40.4130804,-79.9080745,2,6,3.5
eznh0XjVtv924K-KYx_ilQ,40.4113236,-79.9132525,1,13,3
LQFWH1AKJlXGmEBlIKsBCw,40.4135937,-79.906054,2,5,4
LO2CjrNL8DXkvm9uALgRjQ,40.4127917,-79.909169,2,6,3
usSROUMiAgPcxV3Ym0OxMQ,40.40887838,-79.91808943,3,73,4
qfL7ZFkxqDZOPIaVVfT3Aw,40.412712,-79.906061,2,6,3
GlYPVYSOVT7zn00Kk_Oz4g,40.4138973,-79.9075963,3,4,2.5
WaHXyBwljbKNPmmJZn5j8Q,40.3736775,-79.8737336,2,3,3
CL3tZqbYT7B5zgewKCS6-Q,40.3849854,-79.8626605,0,4,1
u22QDAON1kk0wjoTliyftw,40.389192,-79.868305,1,3,4
4ykgzzzGEWjMD5lwk1-l9A,40.3714868,-79.9271583,3,12,4.5
53Yk2EODWnV9qHQECzeHVQ,40.3736775,-79.8737336,1,5,3.5
iBZRphMDFcS2aMbawc1OvA,40.3736775,-79.8737336,0,4,5
iwZqvirc-2e0t8lQEXBlvA,40.3736775,-79.8737336,4,3,3
hnHt6EinzC-IX6y3GSF7jw,40.35208,-79.854724,2,7,5
LiMXTPwanF3LkkKHklFCjw,40.4687228,-80.0600626,0,31,4.5
r8BwdblCW-ZUES37BL0khw,40.472505,-80.074153,1,10,4.5
bN3jIkPqbqroQJteJsC2uw,40.472851,-80.062334,2,3,4
OZfpG8tDCcIEq8pzgZdyKw,40.46562,-80.0656106,2,5,3
imM-x_nAxVtYGVFJJ4FS3Q,40.4285874,-79.9865459,2,3,3
T49ZvBa6mD4xHSmjHe-ArA,40.494301,-80.0533931,1,9,4
eOv0Dbq2E8sd0CKMAqTImw,40.495887,-80.056877,2,15,4
_jsJFrAmFVPRio0eEVExbA,40.492067,-80.06235,0,4,2.5
Lml0-yTNsMYsP9IrSMxw9A,40.4970698,-80.0586009,1,6,2.5
dEuJ4A6v1lUDKF8wWwxy_w,40.499398,-80.07249,1,5,1.5
jTAKV9zLlAjouAKh4Wd7Yg,40.497444,-80.058655,2,4,3
QVZBd_eu0oJ4IN0md2XPTQ,40.496371,-80.057905,4,3,5
_tV_uvbF3JFgsYRtoRWM-Q,40.496411,-80.057993,2,5,2.5
7wT532x2Qz5Hw9BqtBapqw,40.496068,-80.057219,2,14,4
udZJ8YgsHdqtFDQkyPTV1Q,40.487671,-80.055464,1,3,3
kKmvSJ6Z8UVPdrnL74bqrg,40.495483,-80.065652,1,17,4
ucKQlQvOeJxETLNkpKcaSw,40.4966408,-80.057381,1,17,3.5
Rjx8GcWuCzfVsKC5iPIcQA,40.459082,-80.077006,1,8,3.5
CxAupi9tjzTaGG5Fasu9Eg,40.4499962,-80.0575565,0,5,5
s74Tq6WKV1b91UFRr7ch7g,40.463717,-79.931884,2,11,4
ljKPmpxxTJSEArW2T-ikFA,40.4882149,-79.920642,0,10,3.5
ZL6DNzyenFm9Kpz6uADlNg,40.450249,-79.9145,2,46,2.5
G-PlXGCY3G4zNOUzD61ZDA,40.467794,-79.926611,0,3,5
PWU8x7SJdc0ZI0oWOkPfww,40.462105,-79.922481,0,3,5
l-dc5DeNBiHYJA1XO4cFPA,40.457881,-79.924269,0,10,4
BG4N0V93wml9kaU6YYRxRA,40.458577,-79.921053,2,10,2.5
rM-yscH8mBLYvpWnmvuPMw,40.458335,-79.924717,1,7,2
OcTG-KzDleuRub-pb6JS3Q,40.4852511,-79.9259794,1,5,4
Y2p07YEC8xOsYTHWf0UxiA,40.4582511,-79.9251169,1,15,3
g58NW9q4F09wTMiI7EIjmg,40.4653904,-79.9229971,1,13,3.5
Pu5uzlZ05pqVlx6LcZbfgw,40.458703,-79.922447,2,7,3
f_e6RWJIERK708E4Cod1wg,40.4657572,-79.9148356,0,12,4.5
VkFDer80GOrelWALdgNReg,40.457598,-79.9100009,0,27,4
ncJHHRHqsEKUl_5InoDBRA,40.457271,-79.925517,0,5,4
vXBc-i30S0eypUVy7TA6cw,40.4606263,-79.9238313,2,5,2
UFhcxnTzfLO-ROftyP_ukw,40.464176,-79.9252199,0,5,1.5
WNh5vxnNeWTwxotscrQ6vQ,40.485645,-79.926487,0,5,2.5
83_p9vIqOq1TUIf3_GD7bA,40.474884,-79.918862,1,92,4.5
1xRLO1NM8-3soskp2fEgyw,40.459747,-79.9185679,0,8,3.5
Ts4xsKPU7FNPPZRj-nRjIg,40.4583902,-79.9255146,2,60,3
UtWJ8NGMg-3z28s0RzlUoQ,40.4579265,-79.9180322,1,11,3
Nnk1gNKSi_12ziNuK2llxA,40.4575612,-79.9250618,4,3,3.5
Px-EjhtV9XJcEs1ty4giAg,40.4582381,-79.9251176,0,5,4
2i6lkGef2_GMudi6SbRX2w,40.458477,-79.921901,0,4,4
t15LDNaHFpu-bAEJSdoV-g,40.4638365,-79.9316767,0,10,2
bZcqORBnVApUA2-SEn7VEQ,40.4584723,-79.9187095,1,6,2
WWlNzfSllSQhr4whj0W_ng,40.4592437,-79.9313671,0,64,5
R03p_2AxXpNtM31lutbnkA,40.4617424,-79.9251969,0,3,3.5
LVEHxJheleSXj1oKxALYbQ,40.4605003,-79.9256896,0,6,5
YMEtEsUDQKOYJOcE5Fx3gQ,40.475405,-79.919627,2,24,5
#NAME?,40.4601614,-79.9274944,0,6,3.5
1IwQhGGOrVNGGQskR_3uLw,40.4613612,-79.9259052,0,3,5
ZDKi3qsO8lSSogrIdbLJKg,40.4605159,-79.925241,1,28,4.5
qA1PXTv0snTO1gpNPm-Jfw,40.464615,-79.922397,2,19,3
riqqVx-LssGUErBeQisKng,40.463935,-79.933126,0,10,4.5
hzEFfuz2mOA3whGk8UZxjQ,40.457589,-79.9254969,0,5,5
FZ67NZD-_aou82e-7TT_nA,40.4641113,-79.9250911,0,5,3.5
B9C6j80ob0f1pwi1Cnnd1Q,40.4582251,-79.9251182,2,23,3
gZEUfwSZDuVtLDWl96kiFA,40.4573589,-79.9251969,2,3,2.5
wfCLz9-aeShbPB7CaTY-qQ,40.45851065,-79.9288302,3,90,3.5
PaD_6AJMbLt84QU8T6ymow,40.460997,-79.928355,0,7,4.5
0sSHuXYIuJ5iy8eSCAq4gg,40.459676,-79.923615,0,4,4
XC9blQA9Mk4w7oKVJ0nJXw,40.458522,-79.925436,2,3,4.5
tvXTHj9V5sgRoeVJW_FiTg,40.4572607,-79.9336632,2,12,3
_4jd_mYZ8EmE7Hl7AOyWzA,40.4538201,-79.9211464,0,4,4
2SwC8wqpZC4B9iFVTgYT9A,40.458138,-79.924797,3,199,4
PzG0XmAmtXFs6Fdnubf41g,40.464485,-79.935388,1,143,4
lHP5STO7aomlEQixH8m1aA,40.4572935,-79.9252056,2,41,4
0TvxDhCKPQ-_dDyffEnJQQ,40.4502135,-79.9143225,0,15,4
EPILrBqmgQxd-R1gZ1EWJg,40.4472949,-79.90508,1,10,4.5
#NAME?,40.4481991,-79.8954753,2,60,4.5
PavTvJ4JSe9rAwjlr-wrsg,40.44961692,-79.89885561,0,27,4.5
bAnFMk-UoNjyVYUj0sJT0w,40.447942,-79.895957,0,3,5
5V1K5DRpGrObijbtCuPbcg,40.447942,-79.895957,0,29,3
t_Mjhtr0KTB9uGNzxl37WQ,40.45746054,-79.9084721,0,4,2.5
l_Wey2YC6NvVUIH8vTygGg,40.457835,-79.9275276,2,54,4
XWLtYPhCpHht5Zn52zp3-Q,40.4484869,-79.9012971,0,30,4
XvyKrYbc0dvih-P8dATEMA,40.4148896,-79.987783,0,3,3.5
cuuJJ9W3tYmidaLvlzvPBw,40.44074975,-79.99963045,3,18,3
2PfavOTufsPCRdYm-bFcpw,40.4115087,-79.9558863,1,53,4.5
RqWF79LfzXl0PAN_hVCa2Q,40.415053,-79.987206,2,3,3.5
W7-Ybhe6JWJFXjcbmgvdyA,40.4147064,-79.9877685,1,3,3
qUeBDN0D8SC93KeAHhiL-g,40.4216159,-79.9934656,4,72,4.5
YXuvFMtygHPFEOEXgRtgLQ,40.4218925,-79.992815,1,5,2.5
lItAsttBd6f6VFvVxZSIgg,40.3668,-79.981359,0,3,4
RmGlsFfoxaf9vWpfkyXBjQ,40.3926169,-79.9866014,1,3,2.5
LltDzuzRbAJbSrqD4JH-3A,40.3923844,-79.9866275,2,7,3
VkqKyq09rDYMhFk5nElWWA,40.393115,-79.986911,2,4,3
1tSzow6N3xDM4t5sCkDY1g,40.391732,-79.98718,2,3,3
QIJa5h2d65Bgh82zct7c7A,40.388311,-79.996225,1,11,4
fnAU_q5JWWuPzMvwtQh3Tg,40.39261,-79.9968169,0,3,1.5
PTkChuI3GPCw-ZL1Iph76A,40.3923831,-79.9972486,1,6,3.5
BbIh5NTizhV4Fq_mLmNkpg,40.387167,-79.98224,1,3,1.5
YRDKsBFYP7G0E8BLJKIkvA,40.4531335,-80.0013672,2,39,4
bockWFDA3mzjuujY7tOcaw,40.4534167,-79.9997426,3,11,3
IxQ1ATP_Wg_QujO9nywzcQ,40.455167,-79.999815,2,110,4
TyIsuojeKcTb4Acfg7xqew,40.4541341,-79.9981189,1,8,4
oj8bMz76cKXQClpFTFNW9w,40.4535039,-79.9992711,1,7,5
hBAcj7X5JHeX2hvmptwH-w,40.4521309,-79.9981452,2,32,3.5
L6yf7W3uvCHdLrmLmPLJ8Q,40.4959456,-79.9606482,1,3,3.5
k1A8pNspBPinGDivxkuDSA,40.4489884,-80.0088714,2,7,3.5
#NAME?,40.455833,-80.006512,0,3,3.5
Z7HNl4Gz00cA0_wt0S-vSw,40.4621686,-80.0190648,1,12,4.5
OjzR6hUYasFReo0vhVn0-w,40.455167,-79.994957,2,6,4
6AnorAMPkTdSDbUkOoV1Rw,40.4643755,-79.9821671,2,5,3.5
0Ov1O2Gd0dwjkSaj5NJbhg,40.4457075,-80.018213,0,5,4.5
EEuGTah-oEssSl3o6pK-ZQ,40.4435041,-79.9495881,0,49,4.5
49nxzKLr2qQnLF58qo2p1w,40.4546428,-79.9907425,0,4,5
rEKBr81s19Soh3dYj4bcGQ,40.4566455,-80.0070383,0,3,3.5
q_BKmbdlYfQJroJVHfYMUQ,40.4566092,-80.0015054,2,71,4
zq--BGVHu7_fb1VHEwg2ow,40.4566994,-80.0105349,2,7,4
cZl7-Um4HiJWFgDVmMan2Q,40.4509987,-80.0009426,2,19,2
9jkxYkOOLge89D3KHrrNsw,40.4542747,-80.0005142,1,3,4.5
yZiDtpCarfI2f1qbZYQiJA,40.454859,-79.999162,1,4,4
vMCCvnDU-Iz_D_pmbcMqzA,40.4534984,-80.0012052,1,7,2.5
Hm61vENWRqcAL_v6E3dD9Q,40.4543344,-80.0126074,0,3,4.5
hUV4bjXE8Ijd-pDNr8S6mA,40.455929,-80.0065429,1,6,4.5
NKT8-CeoqUYIGUeNXBPVVQ,40.4531769,-80.001199,1,3,3.5
Z101WZaISochG6g7tI2ZVw,40.4480678,-80.0042395,2,48,3
-Gfj1gA0Ir07zToO-4fBpw,40.45270294,-80.00665784,0,29,5
Eixtf79t1_ZKaC-7J2kAWg,40.4535915,-80.0008071,1,14,3.5
Z0OGW8PysysRXE0dR7QxQQ,40.456259,-80.014446,1,12,4
5GS5sBSscgcex0IFTDL9Bg,40.4460204,-80.0153356,0,49,4.5
I9-Ei8_KYtMjbixNJSCvwA,40.4534946,-79.9993338,1,3,3.5
URGZtJhOCrbJ8-RkLvslOg,40.4481509,-80.0040779,1,3,3
fB7XYJYrTtchlTmzSQVMbQ,40.4480946,-80.0042488,0,10,3.5
I5JRRkFZrrdcdiT91WwdUw,40.464958,-79.983936,0,4,3.5
cQSSAAtg-YI2o68NO8ydqA,40.4484039,-80.010841,0,6,1.5
W25mXeVDTHBIXAidJrwHPg,40.47308514,-79.96212428,0,5,4
yfuoL_w76WFVHcGJbw0IIg,40.4846476,-80.0354937,2,6,3
TJS9ow91yySX4Gt35hQc1w,40.4702876,-80.0302515,0,3,5
obAdXU3RULuUOww759_h_w,40.4812123,-80.0414427,1,6,5
YUZVBdGmagwXV-yOhR-1GQ,40.4851129,-80.0416964,2,10,2.5
OIL-eZX8d10jgWPLW-E7zA,40.4810824,-80.0414027,1,9,3
N2DwycuZl95miWf39Yskaw,40.489973,-80.018177,2,3,3.5
4KJhRKocVPhrkdQQX2KVCw,40.4215177,-80.0297492,0,3,4.5
titJ-ofqKMG9d0i9_kkX6A,40.3918758,-80.037826,0,8,4
PSlOtPIo28BvWOzdLmRRRQ,40.3959923,-80.0350352,2,12,3
H9R8b2pgn3NQhQHesEUEiQ,40.3950481,-80.034704,2,4,3.5
0sIumiRwbjhT71ltLIZqqQ,40.3943248,-80.0464255,4,3,3.5
7KjZ49Xrb6QWjnu5NlxzVw,40.3949331,-80.0342686,1,9,3.5
Wnn1GtvvtnkFdPfdRcYW-Q,40.3953119,-80.0343,2,11,4.5
oXaIwYLi9mzUxcYde9rDcg,40.409199,-80.031761,0,3,3
9NL2GL4jSPVj9SKijH5PqA,40.3996765,-80.0434133,2,15,4
f0Sz4efqcGDO45fNyIuD3w,40.3992789,-80.0445647,2,3,2
dWVFS5Jiu6Ee7vOLc2T6-w,40.3971675,-80.0294805,0,5,5
uie9L4ZrCvDdkSdByOVTLQ,40.3887221,-80.0496559,2,12,3.5
wan0X-oHpLgGTPXqaICZCw,40.409125,-80.024957,1,8,3.5
05l84gPaZX2IWaIaoAq3hg,40.394911,-80.0339862,2,14,5
QnyzlVMyx0Exri-Lay10cA,40.388562,-80.049448,2,17,3.5
81sqVj0xHyJXGYT0ip5fmQ,40.38892,-80.049921,3,7,2.5
Wn5bLgkx_S7W1q2TeoLL1g,40.3953565,-80.0345551,0,4,3
m61vZsAxmTEq3uiCjFjM8Q,40.3942631,-80.0352133,1,24,3.5
WY6FFxpa6ztwDH5OhS6WDw,40.3954709,-80.0347424,2,13,4
nvrXLcmknaYuiGRquWhwIQ,40.420335,-80.030114,2,10,2
93UCt9OgWYmypZCpXtUu8g,40.412659,-80.030322,1,86,3.5
WYXbVUx79W30tW9PI9phIA,40.4025781,-80.041926,0,3,4.5
LV_OCiR9rOHVHgdhbpqw2Q,40.3885545,-80.0500275,1,9,4
cRv7pLvIe3eI0efndQBcLg,40.401054,-80.0433063,2,3,2.5
ORTRrw3ClZ0Ld0LgY1H_5g,40.395871,-80.033585,1,15,3.5
9aw0t0rlACKkMaxsX0KlKA,40.3958828,-80.0466445,1,5,4
#NAME?,40.443213,-79.9534393,0,4,5
ZH_t1lKTDOdPOvyIckDOMA,40.390935,-80.039142,0,3,3.5
IGF_b0dO3R2J-p8x70gK4Q,40.422068,-80.029239,0,3,3.5
5Udv4CASAXB2eH66TefWPQ,40.3897336,-80.0409102,2,54,4
l4zq494c6zfNUJrMcd9Y1w,40.397846,-80.036197,2,4,5
2Igiyhi82R8_QaaPplRmCw,40.3959206,-80.0348023,1,173,4.5
Cex2R008tMFg8R5fAtf77w,40.3966306,-80.0357966,1,25,3.5
BrzQp0bjp0cwmUzXxLszjQ,40.396132,-80.033232,0,3,3.5
xmyWUwZtjPK6xLdNuAUxaw,40.388395,-80.049821,3,3,2.5
n7G2XFGvmS3duDJ4AzjKiQ,40.420335,-80.030114,2,19,2.5
8tBfgYCI6Fz9xrSYCYCYXA,40.420335,-80.030114,1,11,3
Tb7hQ37UFA2QFaMwjFieQw,40.414716,-80.03063,0,5,2.5
21hqlWgjmNgW4pBZJDuziQ,40.409944,-80.024985,1,5,3
qemCNgjeYGcFsRwxW9x4xw,40.3886105,-80.0499034,2,55,3.5
iudRNo5Q8W7firUBYJEqQQ,40.3886666,-80.049779,2,7,2.5
v0GwJK6CnFpKVex-ekCpJg,40.393828,-80.0351994,0,4,4.5
bufORugql7KgD_d5KvhxDQ,40.395691,-80.04689,2,4,4
k_YKbdDeNIETkjKi-cAN-A,40.388507,-80.049572,0,3,3
9rbWt_PX8qVVN-nEJv3A9Q,40.399457,-80.043683,1,3,3.5
T6P49PTjPAy7BzyGtscLqw,40.388562,-80.049448,2,3,5
oTojBCc-Lex09Fww3QmWWg,40.405964,-80.035508,2,3,3.5
g4jHGmS46NHnb7xp-YPUKg,40.404526,-80.039931,0,3,1
WxN-aV_puFazt3UGNLlw0A,40.431523,-79.893463,2,8,3.5
2X5G4Ujq0s4Wfn4TC7gX0g,40.432022,-79.893834,2,225,4.5
YSwiLSkOzH-gQU6PVJ9kmA,40.4233755,-79.8914638,2,5,2.5
1PcoOrAavnik-f_Epp9v0A,40.432478,-79.894158,0,5,2
evIbqjnN4ePd9eT4L4WsIw,40.4213571,-79.8975426,0,3,4
7lDNKKxMV84KIS1OVZOepw,40.4325501,-79.8938618,0,9,3
WD7TUnO7ExNJahLN4p3bMA,40.4270319,-79.886957,0,8,4.5
XQ7elqSFIRogvqpiTZz-Wg,40.432599,-79.894243,2,17,3
V4rrrgVfAVwCI2737bhLIQ,40.43333,-79.894049,2,4,4
JL5B_s1EoN4zIru4JSw4Qg,40.427135,-79.890649,1,4,3.5
D9sHwmqlNkrVxmX-057i1g,40.4323539,-79.89407,1,11,1.5
HTmOPehNDQAtCosPo_FgyA,40.433168,-79.8846281,0,7,5
IafkUjO5CiXAu9LfB4_Sgg,40.421259,-79.890285,1,3,5
OS1fGOcx_Erie5gujWIFNQ,40.422307,-79.8893217,1,3,3.5
DzOPHyrG2XuVqKEvHCnN7w,40.4175696,-79.8879525,1,25,4.5
nqRNOug4OMrYTTZg-qLxXA,40.4209717,-79.886521,2,5,4
_8xYpVdKMllhuuf4PIvq8w,40.42304,-79.8873652,2,8,3
K8Ebs8G1rwc3DBdznHvDxg,40.4254343,-79.8886201,1,4,3
SNJHgqJPj5SZhntFdsDUeg,40.42823221,-79.8860676,2,4,2
IraPoq6RFLTX9KCuT0UsGw,40.432151,-79.8852289,0,4,4.5
h3la53L9-OX_HlfeAySh0Q,40.4273028,-79.8886844,2,12,2.5
eXWCtwGcaJgMz6WRNR9Beg,40.426722,-79.8906283,0,3,4
1vQLTKwmcmZXtNzfKEvMmA,40.392287,-80.070269,3,33,3.5
hhNlQWaKqGbMPoeZHoL-IQ,40.3906976,-80.070806,2,65,3.5
EiKoZpEcjG1B_r8G9laAxg,40.3938079,-80.06597,2,5,4
tRhwP2jCg_lI1BrjdscNbw,40.3915059,-80.0594902,2,3,4.5
zvqxmVZgJ0XpJfb1Xn5jKQ,40.392484,-80.065824,2,8,3.5
SgQYRICpMdWCmY7wM2Cmcw,40.3940168,-80.0629702,2,21,2.5
uwiD9jxs09xxXG0by_xKuA,40.392551,-80.061579,1,5,3
mrbfnIXD5U4pMxuZgKedOw,40.392484,-80.065824,2,4,3
f0eAe5PZMy_MEvxEEBYAcQ,40.392484,-80.065824,2,6,4.5
sNmQJQWEVGheCnw5Tf4Phg,40.3939568,-80.0660407,1,11,4
36a2h_kADYEoBOr3rtaj1Q,40.42801285,-80.04381561,0,3,3.5
jrSGpWnVJy8jqgN6XSC7Nw,40.416975,-80.045368,3,9,4
KZXtzoI84iI1CEcAnD7OPA,40.4210254,-80.0500506,2,34,3.5
zhQzX3CxM0tdBXwGUWmxGA,40.441776,-80.047466,1,17,4.5
7Q2eP_xd--kZQkSpId_N6Q,40.4245443,-80.0418784,0,3,2
c1ixeRdwTvNt6YLew-sSCg,40.4224571,-80.0355884,1,6,1
AJiwOb0s5zpYu0NW7Jvrpg,40.4244987,-80.0415536,2,13,3.5
4qHYWPP9bM82tC-d4nyqRg,40.4407933,-80.0353502,0,3,4.5
zpNGtjBlIkDq_PLGSCPlAg,40.4198341,-80.0456525,2,19,3.5
chDzLfj8CqvsJq4wzW1ZqQ,40.4244987,-80.0415536,2,7,4
Ml6Up5SH9GbJQ8oyIJsj_g,40.4205818,-80.0557546,2,15,1.5
ZS7-I04iDm4oRP_GJsJqrA,40.418106,-80.045902,1,5,4
xSYGuHecEWP7At0HYbO5Jg,40.418425,-80.045329,2,9,3
7ijQJV72aBrEoJCtTBCHxw,40.4401998,-80.0022117,2,13,3
OmpbTu4deR3ByOo7btTTZw,40.440677,-80.000657,2,5,1.5
ih6d7hBWss05xXWUznuFaw,40.45852363,-79.92920637,3,75,4
oH-N5ONrsWK8jWuq8p653w,40.439597,-80.00141,3,10,2.5
FtjvnLhh51ZBYEpKAARaFQ,40.4483207,-80.0043186,2,69,3
z4cCguoHdU48pj6sXMIzqg,40.4441681,-79.994852,3,74,2.5
mbKM8aLB3H7BCEGbQspPFw,40.455575,-79.9779889,0,3,5
sbTF0cLKZH6_BP8BLARVDg,40.4439388,-80.0006057,3,29,2.5
D5AC_cRdXrSWqL8KjJt5KA,40.442436,-79.880292,0,3,3.5
OxIeMVcop5oxBUWANi-1Rw,40.4429278,-80.0025539,2,132,3.5
imzKM9-mgN1Yk_RIXx3IgA,40.450964,-79.984628,1,16,3.5
1n0n_-Iz0e3iVpH8sereiA,40.458139,-79.928437,0,36,2.5
3kl25XEmET3SM-6jIa9-MQ,40.439652,-80.004357,0,3,4.5
IEHaU93HpEbdUO4z4bKzDw,40.4540368,-79.9814643,1,18,3.5
9D4PMia-8WqCYXnr7TM0Pw,40.4503182,-79.9854235,1,16,4.5
06SQoq5EV4XAY-yKrEtCQg,40.4432268,-80.0048354,0,3,3.5
Jj7EE1vPUaKHykA7WzlIew,40.4568643,-79.975173,2,3,4
9oto9YGsXjGMW6tLV9S3aQ,40.477463,-79.9574279,3,4,3
NeUf9FyCCIN4MEseNyqkXQ,40.440287,-80.002585,1,340,3.5
JcP-IIrZkW_Yyv4a0yLRCw,40.4430725,-79.9973279,1,9,3
4LcFKTr6Ah87VcxW2z5e6w,40.4422762,-79.9989518,1,3,1.5
buVALudg30kgkDusqB3yJw,40.4514856,-79.9834035,1,76,4.5
wHi8ODv7TGmeUB02XoX-mA,40.4505742,-79.9842886,2,125,2.5
4tMGXYHN_0o0B6mnuYHhmg,40.441217,-79.998244,3,3,2
J7I85lTCEGr9-qp6AXPUjQ,40.441253,-80.0030696,1,46,4.5
WXpi9z1bqF9raZSW8z70Ow,40.444021,-80.0027249,1,31,3.5
j7kgLc4Uys_sb-H7_Velcg,40.444318,-79.994009,1,5,3
DhDNNHZtaBxYNSqJz64ixg,40.4401562,-80.0024696,1,15,4.5
PxP19Rb88OQKiSMl2oWNsg,40.4440173,-80.0027621,2,42,3
9mwShpTgZofOujt4JfyGmw,40.455916,-79.979271,2,74,2.5
IXBN4eEqgNNGFA15xCTMgQ,40.4542069,-79.979898,2,3,5
porUqRPcw8GoTSvZoMH0ag,40.4500361,-79.9876707,3,5,4
90Fqfzd8zD9AuuNBSv9lAg,40.4423373,-80.0007482,4,47,4
DHAq_WmQwjk7gviKXwqnjg,40.4504367,-79.9852163,1,16,4
gX96CYY9T3K-jiippnnXDA,40.44308,-79.998437,2,5,2
shrMOQmX_SX-KualwYoAzA,40.44756,-79.99086,1,6,2.5
BdTRQw4z-bxVfDlv-JSb7g,40.4442424,-79.9924126,0,3,2.5
lRM-3Fwp3RkK-wecxO8P8w,40.440531,-79.9983733,0,5,3
cWe1Xoczmj2vD5h6BOrZYg,40.439869,-80.001223,3,8,2
